"VP","VN","FP","FN"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","29","0","1"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","28","0","2"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","29","0","1"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
