"VP","VN","FP","FN"
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"33","12","",""
"29","16","",""
"30","15","",""
"28","17","",""
"30","15","",""
"30","15","",""
"32","13","",""
"30","15","",""
"30","15","",""
"28","17","",""
"30","15","",""
"30","15","",""
"30","15","",""
"33","12","",""
"30","15","",""
"30","15","",""
"22","23","",""
"24","21","",""
"30","15","",""
"30","15","",""
"30","15","",""
"31","14","",""
"27","18","",""
"28","17","",""
"29","16","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"20","25","",""
"30","15","",""
"30","15","",""
"29","16","",""
"30","15","",""
"38","7","",""
"30","15","",""
"29","16","",""
"29","16","",""
"30","15","",""
"33","12","",""
"21","24","",""
"30","15","",""
"30","15","",""
"28","17","",""
"32","13","",""
"26","19","",""
"26","19","",""
"33","12","",""
"27","18","",""
"30","15","",""
"29","16","",""
"30","15","",""
"30","15","",""
"24","21","",""
"32","13","",""
"26","19","",""
"30","15","",""
"29","16","",""
"30","15","",""
"30","15","",""
"26","19","",""
"34","11","",""
"30","15","",""
"29","16","",""
"30","15","",""
"30","15","",""
"31","14","",""
"30","15","",""
"26","19","",""
"30","15","",""
"29","16","",""
"29","16","",""
"30","15","",""
"29","16","",""
"29","16","",""
"30","15","",""
"29","16","",""
"27","18","",""
"28","17","",""
"30","15","",""
"28","17","",""
"30","15","",""
"30","15","",""
"30","15","",""
"29","16","",""
"28","17","",""
"30","15","",""
"28","17","",""
"39","6","",""
"30","15","",""
"28","17","",""
"30","15","",""
"27","18","",""
"30","15","",""
"30","15","",""
"31","14","",""
"24","21","",""
"32","13","",""
"34","11","",""
"30","15","",""
"29","16","",""
"27","18","",""
"26","19","",""
"27","18","",""
"30","15","",""
"30","15","",""
"24","21","",""
"30","15","",""
"28","17","",""
"29","16","",""
"31","14","",""
"29","16","",""
"39","6","",""
"23","22","",""
"23","22","",""
"30","15","",""
"30","15","",""
"30","15","",""
"27","18","",""
"26","19","",""
"28","17","",""
"34","11","",""
"30","15","",""
"28","17","",""
"26","19","",""
"39","6","",""
"30","15","",""
"24","21","",""
"31","14","",""
"29","16","",""
"30","15","",""
"30","15","",""
"24","21","",""
"30","15","",""
"31","14","",""
"30","15","",""
"29","16","",""
"21","24","",""
"29","16","",""
"28","17","",""
"28","17","",""
"30","15","",""
"29","16","",""
"30","15","",""
"27","18","",""
"30","15","",""
"30","15","",""
"30","15","",""
"29","16","",""
"30","15","",""
"30","15","",""
"31","14","",""
"31","14","",""
"26","19","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"44","1","",""
"32","13","",""
