"VP","VN","FP","FN"
"30","15","",""
"22","23","",""
"30","15","",""
"30","15","",""
"29","16","",""
"30","15","",""
"22","23","",""
"30","15","",""
"30","15","",""
"24","21","",""
"31","14","",""
"25","20","",""
"28","17","",""
"30","15","",""
"29","16","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"27","18","",""
"32","13","",""
"29","16","",""
"30","15","",""
"30","15","",""
"29","16","",""
"30","15","",""
"25","20","",""
"30","15","",""
"30","15","",""
"32","13","",""
"27","18","",""
"29","16","",""
"28","17","",""
"30","15","",""
"24","21","",""
"30","15","",""
"30","15","",""
"30","15","",""
"28","17","",""
"30","15","",""
"28","17","",""
"30","15","",""
"29","16","",""
"30","15","",""
"26","19","",""
"30","15","",""
"31","14","",""
"30","15","",""
"33","12","",""
"30","15","",""
"30","15","",""
"28","17","",""
"30","15","",""
"29","16","",""
"21","24","",""
"29","16","",""
"30","15","",""
"25","20","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"29","16","",""
"31","14","",""
"30","15","",""
"20","25","",""
"30","15","",""
"30","15","",""
"43","2","",""
"30","15","",""
"29","16","",""
"30","15","",""
"26","19","",""
"34","11","",""
"25","20","",""
"24","21","",""
"41","4","",""
"21","24","",""
"29","16","",""
"26","19","",""
"30","15","",""
"30","15","",""
"29","16","",""
"30","15","",""
"30","15","",""
"27","18","",""
"33","12","",""
"29","16","",""
"23","22","",""
"28","17","",""
"34","11","",""
"28","17","",""
"29","16","",""
"30","15","",""
"33","12","",""
"28","17","",""
"28","17","",""
"30","15","",""
"30","15","",""
"29","16","",""
"30","15","",""
"30","15","",""
"30","15","",""
"28","17","",""
"23","22","",""
"30","15","",""
"30","15","",""
"23","22","",""
"20","25","",""
"30","15","",""
"29","16","",""
"30","15","",""
"28","17","",""
"31","14","",""
"28","17","",""
"28","17","",""
"30","15","",""
"32","13","",""
"32","13","",""
"29","16","",""
"30","15","",""
"29","16","",""
"30","15","",""
"32","13","",""
"30","15","",""
"27","18","",""
"29","16","",""
"30","15","",""
"30","15","",""
"30","15","",""
"28","17","",""
"21","24","",""
"30","15","",""
"30","15","",""
"32","13","",""
"28","17","",""
"30","15","",""
"30","15","",""
"19","26","",""
"31","14","",""
"29","16","",""
"30","15","",""
"30","15","",""
"29","16","",""
"18","27","",""
"30","15","",""
"30","15","",""
"30","15","",""
"22","23","",""
"30","15","",""
"29","16","",""
