"VP","VN","FP","FN"
"28","17","",""
"32","13","",""
"30","15","",""
"33","12","",""
"30","15","",""
"29","16","",""
"29","16","",""
"30","15","",""
"30","15","",""
"28","17","",""
"29","16","",""
"27","18","",""
"30","15","",""
"28","17","",""
"29","16","",""
"24","21","",""
"30","15","",""
"43","2","",""
"30","15","",""
"30","15","",""
"30","15","",""
"24","21","",""
"29","16","",""
"30","15","",""
"30","15","",""
"22","23","",""
"29","16","",""
"30","15","",""
"30","15","",""
"25","20","",""
"29","16","",""
"30","15","",""
"27","18","",""
"27","18","",""
"39","6","",""
"29","16","",""
"29","16","",""
"34","11","",""
"30","15","",""
"30","15","",""
"24","21","",""
"30","15","",""
"28","17","",""
"29","16","",""
"30","15","",""
"31","14","",""
"31","14","",""
"28","17","",""
"32","13","",""
"29","16","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"29","16","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"41","4","",""
"29","16","",""
"29","16","",""
"31","14","",""
"26","19","",""
"30","15","",""
"29","16","",""
"30","15","",""
"30","15","",""
"28","17","",""
"32","13","",""
"30","15","",""
"29","16","",""
"26","19","",""
"31","14","",""
"26","19","",""
"32","13","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"27","18","",""
"31","14","",""
"29","16","",""
"30","15","",""
"30","15","",""
"31","14","",""
"29","16","",""
"30","15","",""
"30","15","",""
"34","11","",""
"30","15","",""
"29","16","",""
"30","15","",""
"30","15","",""
"29","16","",""
"30","15","",""
"29","16","",""
"30","15","",""
"30","15","",""
"30","15","",""
"22","23","",""
"30","15","",""
"30","15","",""
"30","15","",""
"29","16","",""
"29","16","",""
"28","17","",""
"29","16","",""
"29","16","",""
"32","13","",""
"27","18","",""
"21","24","",""
"29","16","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"28","17","",""
"28","17","",""
"30","15","",""
"30","15","",""
"30","15","",""
"29","16","",""
"27","18","",""
"30","15","",""
"24","21","",""
"27","18","",""
"31","14","",""
"28","17","",""
"22","23","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"29","16","",""
"30","15","",""
"31","14","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"28","17","",""
"29","16","",""
"28","17","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"30","15","",""
"31","14","",""
"30","15","",""
"30","15","",""
"27","18","",""
"26","19","",""
"30","15","",""
"29","16","",""
"30","15","",""
"20","25","",""
"28","17","",""
"29","16","",""
"29","16","",""
"36","9","",""
"29","16","",""
