"VP","VN","FP","FN"
"30","15","",""
"33","12","",""
"29","16","",""
"32","13","",""
"29","16","",""
"37","8","",""
"36","9","",""
"23","22","",""
"39","6","",""
"40","5","",""
"25","20","",""
"35","10","",""
"35","10","",""
"33","12","",""
"38","7","",""
"34","11","",""
"31","14","",""
"30","15","",""
"25","20","",""
"33","12","",""
"30","15","",""
"32","13","",""
"30","15","",""
"23","22","",""
"31","14","",""
"30","15","",""
"37","8","",""
"23","22","",""
"29","16","",""
"35","10","",""
"39","6","",""
"37","8","",""
"31","14","",""
"43","2","",""
"36","9","",""
"32","13","",""
"30","15","",""
"30","15","",""
"33","12","",""
"29","16","",""
"36","9","",""
"44","1","",""
"38","7","",""
"35","10","",""
"44","1","",""
"35","10","",""
"33","12","",""
"39","6","",""
"24","21","",""
"41","4","",""
"31","14","",""
"34","11","",""
"38","7","",""
"35","10","",""
"35","10","",""
"22","23","",""
"30","15","",""
"34","11","",""
"36","9","",""
"38","7","",""
"33","12","",""
"33","12","",""
"24","21","",""
"32","13","",""
"30","15","",""
"29","16","",""
"36","9","",""
"37","8","",""
"31","14","",""
"35","10","",""
"29","16","",""
"32","13","",""
"35","10","",""
"35","10","",""
"38","7","",""
"35","10","",""
"27","18","",""
"40","5","",""
"28","17","",""
"24","21","",""
"37","8","",""
"35","10","",""
"36","9","",""
"33","12","",""
"37","8","",""
"44","1","",""
"28","17","",""
"41","4","",""
"33","12","",""
"38","7","",""
"35","10","",""
"37","8","",""
"36","9","",""
"31","14","",""
"33","12","",""
"21","24","",""
"34","11","",""
"39","6","",""
"41","4","",""
"40","5","",""
"31","14","",""
"40","5","",""
"40","5","",""
"33","12","",""
"34","11","",""
"39","6","",""
"34","11","",""
"33","12","",""
"35","10","",""
"43","2","",""
"16","29","",""
"37","8","",""
"36","9","",""
"38","7","",""
"37","8","",""
"36","9","",""
"27","18","",""
"32","13","",""
"20","25","",""
"27","18","",""
"42","3","",""
"30","15","",""
"39","6","",""
"28","17","",""
"41","4","",""
"34","11","",""
"31","14","",""
"35","10","",""
"35","10","",""
"30","15","",""
"37","8","",""
"26","19","",""
"23","22","",""
"41","4","",""
"36","9","",""
"40","5","",""
"30","15","",""
"37","8","",""
"36","9","",""
"35","10","",""
"39","6","",""
"39","6","",""
"41","4","",""
"25","20","",""
"35","10","",""
"30","15","",""
"33","12","",""
"32","13","",""
"30","15","",""
"35","10","",""
"30","15","",""
"28","17","",""
"32","13","",""
"39","6","",""
"34","11","",""
"41","4","",""
"43","2","",""
"37","8","",""
"34","11","",""
"35","10","",""
"32","13","",""
"38","7","",""
"38","7","",""
"24","21","",""
"40","5","",""
"39","6","",""
"33","12","",""
"42","3","",""
"30","15","",""
"30","15","",""
"31","14","",""
"41","4","",""
"21","24","",""
"30","15","",""
"40","5","",""
"34","11","",""
"44","1","",""
"30","15","",""
"21","24","",""
"41","4","",""
"41","4","",""
"41","4","",""
"34","11","",""
"33","12","",""
"29","16","",""
"28","17","",""
"30","15","",""
"39","6","",""
"33","12","",""
"30","15","",""
"40","5","",""
"29","16","",""
"32","13","",""
"39","6","",""
"34","11","",""
"36","9","",""
"36","9","",""
"31","14","",""
"40","5","",""
"36","9","",""
"29","16","",""
"31","14","",""
"41","4","",""
"39","6","",""
"30","15","",""
"31","14","",""
"31","14","",""
"38","7","",""
"36","9","",""
"34","11","",""
"39","6","",""
"29","16","",""
"32","13","",""
"30","15","",""
"41","4","",""
"36","9","",""
