"VP","VN","FP","FN"
"29","16","",""
"31","14","",""
"30","15","",""
"30","15","",""
"40","5","",""
"39","6","",""
"36","9","",""
"36","9","",""
"39","6","",""
"30","15","",""
"27","18","",""
"41","4","",""
"33","12","",""
"34","11","",""
"27","18","",""
"33","12","",""
"25","20","",""
"40","5","",""
"30","15","",""
"38","7","",""
"29","16","",""
"31","14","",""
"36","9","",""
"35","10","",""
"44","1","",""
"32","13","",""
"30","15","",""
"36","9","",""
"27","18","",""
"43","2","",""
"34","11","",""
"34","11","",""
"29","16","",""
"36","9","",""
"37","8","",""
"28","17","",""
"26","19","",""
"33","12","",""
"31","14","",""
"34","11","",""
"25","20","",""
"33","12","",""
"27","18","",""
"30","15","",""
"37","8","",""
"33","12","",""
"36","9","",""
"32","13","",""
"40","5","",""
"33","12","",""
"37","8","",""
"43","2","",""
"27","18","",""
"34","11","",""
"38","7","",""
"40","5","",""
"36","9","",""
"42","3","",""
"43","2","",""
"33","12","",""
"33","12","",""
"42","3","",""
"40","5","",""
"31","14","",""
"34","11","",""
"37","8","",""
"30","15","",""
"34","11","",""
"35","10","",""
"34","11","",""
"37","8","",""
"24","21","",""
"35","10","",""
"36","9","",""
"27","18","",""
"32","13","",""
"32","13","",""
"35","10","",""
"40","5","",""
"43","2","",""
"40","5","",""
"37","8","",""
"40","5","",""
"32","13","",""
"32","13","",""
"33","12","",""
"32","13","",""
"37","8","",""
"27","18","",""
"36","9","",""
"37","8","",""
"42","3","",""
"40","5","",""
"34","11","",""
"32","13","",""
"29","16","",""
"34","11","",""
"23","22","",""
"33","12","",""
"42","3","",""
"37","8","",""
"33","12","",""
"37","8","",""
"22","23","",""
"32","13","",""
"33","12","",""
"31","14","",""
"34","11","",""
"30","15","",""
"32","13","",""
"30","15","",""
"42","3","",""
"38","7","",""
"30","15","",""
"40","5","",""
"35","10","",""
"39","6","",""
"43","2","",""
"32","13","",""
"32","13","",""
"23","22","",""
"30","15","",""
"38","7","",""
"38","7","",""
"30","15","",""
"28","17","",""
"34","11","",""
"30","15","",""
"17","28","",""
"30","15","",""
"30","15","",""
"33","12","",""
"33","12","",""
"36","9","",""
"29","16","",""
"32","13","",""
"36","9","",""
"30","15","",""
"36","9","",""
"39","6","",""
"38","7","",""
"29","16","",""
"30","15","",""
"26","19","",""
"17","28","",""
"37","8","",""
"38","7","",""
"32","13","",""
"27","18","",""
"23","22","",""
"30","15","",""
"33","12","",""
"35","10","",""
"30","15","",""
"43","2","",""
"25","20","",""
"31","14","",""
"32","13","",""
"44","1","",""
"41","4","",""
"37","8","",""
"37","8","",""
"29","16","",""
"37","8","",""
"35","10","",""
"30","15","",""
"35","10","",""
"34","11","",""
"33","12","",""
"30","15","",""
"29","16","",""
"36","9","",""
"31","14","",""
"27","18","",""
"37","8","",""
"31","14","",""
"37","8","",""
"36","9","",""
"29","16","",""
"39","6","",""
"31","14","",""
"30","15","",""
"38","7","",""
"37","8","",""
"33","12","",""
"34","11","",""
"30","15","",""
"30","15","",""
"30","15","",""
"33","12","",""
"37","8","",""
"32","13","",""
"39","6","",""
"30","15","",""
"34","11","",""
"34","11","",""
"40","5","",""
"32","13","",""
"38","7","",""
"31","14","",""
"26","19","",""
"30","15","",""
"36","9","",""
"41","4","",""
"36","9","",""
"33","12","",""
"36","9","",""
"40","5","",""
"37","8","",""
"39","6","",""
"45","0","",""
"30","15","",""
"34","11","",""
"28","17","",""
"32","13","",""
"29","16","",""
"37","8","",""
"30","15","",""
"34","11","",""
"34","11","",""
"36","9","",""
"37","8","",""
"32","13","",""
"30","15","",""
"33","12","",""
"30","15","",""
"27","18","",""
"34","11","",""
"30","15","",""
"28","17","",""
"40","5","",""
"32","13","",""
"33","12","",""
"42","3","",""
"41","4","",""
"44","1","",""
"33","12","",""
"38","7","",""
"33","12","",""
"33","12","",""
"25","20","",""
"38","7","",""
"34","11","",""
"29","16","",""
"28","17","",""
"32","13","",""
"32","13","",""
"38","7","",""
"30","15","",""
"30","15","",""
"30","15","",""
"40","5","",""
"31","14","",""
"40","5","",""
"40","5","",""
"35","10","",""
"31","14","",""
"35","10","",""
"36","9","",""
"33","12","",""
"28","17","",""
"30","15","",""
"31","14","",""
"38","7","",""
"35","10","",""
"30","15","",""
"34","11","",""
"35","10","",""
"17","28","",""
"38","7","",""
"41","4","",""
"25","20","",""
"43","2","",""
"30","15","",""
"38","7","",""
"33","12","",""
"36","9","",""
"32","13","",""
"40","5","",""
"34","11","",""
"37","8","",""
"26","19","",""
"44","1","",""
"36","9","",""
"35","10","",""
"30","15","",""
"23","22","",""
"30","15","",""
"32","13","",""
"37","8","",""
"33","12","",""
"30","15","",""
"41","4","",""
"32","13","",""
"30","15","",""
"32","13","",""
"31","14","",""
"29","16","",""
"30","15","",""
"42","3","",""
"28","17","",""
"31","14","",""
"40","5","",""
"32","13","",""
"29","16","",""
"40","5","",""
"36","9","",""
"33","12","",""
"33","12","",""
"30","15","",""
"40","5","",""
"40","5","",""
"33","12","",""
"37","8","",""
"27","18","",""
"34","11","",""
"31","14","",""
"39","6","",""
"31","14","",""
"30","15","",""
"34","11","",""
"42","3","",""
"38","7","",""
"26","19","",""
"39","6","",""
"35","10","",""
"42","3","",""
"36","9","",""
"32","13","",""
"40","5","",""
"37","8","",""
"29","16","",""
"35","10","",""
"30","15","",""
"32","13","",""
"31","14","",""
"35","10","",""
"39","6","",""
"37","8","",""
"31","14","",""
"22","23","",""
"36","9","",""
"29","16","",""
"32","13","",""
"30","15","",""
"39","6","",""
"40","5","",""
"42","3","",""
"36","9","",""
"30","15","",""
"34","11","",""
"32","13","",""
"30","15","",""
"41","4","",""
"43","2","",""
"39","6","",""
"29","16","",""
"29","16","",""
"34","11","",""
"36","9","",""
"33","12","",""
"36","9","",""
"43","2","",""
"38","7","",""
"32","13","",""
"29","16","",""
"35","10","",""
"37","8","",""
"39","6","",""
"39","6","",""
"34","11","",""
"32","13","",""
"30","15","",""
"32","13","",""
"39","6","",""
"30","15","",""
"31","14","",""
"41","4","",""
"36","9","",""
"32","13","",""
"31","14","",""
"31","14","",""
"44","1","",""
"32","13","",""
"37","8","",""
"35","10","",""
"32","13","",""
"43","2","",""
"23","22","",""
"30","15","",""
"30","15","",""
"33","12","",""
"31","14","",""
"33","12","",""
"40","5","",""
"37","8","",""
"33","12","",""
"38","7","",""
"28","17","",""
"37","8","",""
"35","10","",""
"38","7","",""
"33","12","",""
"34","11","",""
"29","16","",""
"39","6","",""
"30","15","",""
"30","15","",""
"35","10","",""
"30","15","",""
"37","8","",""
"34","11","",""
"29","16","",""
"29","16","",""
"33","12","",""
"30","15","",""
"37","8","",""
"39","6","",""
"33","12","",""
"19","26","",""
"27","18","",""
"42","3","",""
"36","9","",""
"33","12","",""
"41","4","",""
"32","13","",""
"42","3","",""
"32","13","",""
"30","15","",""
"42","3","",""
"30","15","",""
"30","15","",""
"40","5","",""
"32","13","",""
"31","14","",""
"41","4","",""
"17","28","",""
"44","1","",""
"32","13","",""
"39","6","",""
"32","13","",""
"31","14","",""
"30","15","",""
"29","16","",""
"38","7","",""
"38","7","",""
"42","3","",""
"29","16","",""
"37","8","",""
"37","8","",""
"39","6","",""
"30","15","",""
"30","15","",""
"31","14","",""
"39","6","",""
"43","2","",""
"35","10","",""
"40","5","",""
"27","18","",""
"30","15","",""
"41","4","",""
"37","8","",""
"32","13","",""
"27","18","",""
"35","10","",""
"26","19","",""
"32","13","",""
"36","9","",""
"40","5","",""
"28","17","",""
"31","14","",""
"31","14","",""
"27","18","",""
"34","11","",""
"32","13","",""
"28","17","",""
"30","15","",""
"30","15","",""
"35","10","",""
"20","25","",""
"35","10","",""
"34","11","",""
"32","13","",""
"28","17","",""
"22","23","",""
"34","11","",""
"32","13","",""
"36","9","",""
"43","2","",""
"32","13","",""
"44","1","",""
"39","6","",""
"42","3","",""
"32","13","",""
"31","14","",""
"43","2","",""
"41","4","",""
"19","26","",""
"33","12","",""
"23","22","",""
"42","3","",""
"37","8","",""
"31","14","",""
"30","15","",""
"33","12","",""
"30","15","",""
"30","15","",""
"29","16","",""
"32","13","",""
"34","11","",""
"28","17","",""
"31","14","",""
"29","16","",""
"43","2","",""
"30","15","",""
"30","15","",""
"44","1","",""
"30","15","",""
"36","9","",""
"35","10","",""
"35","10","",""
"30","15","",""
"17","28","",""
"28","17","",""
"30","15","",""
"42","3","",""
"39","6","",""
"38","7","",""
"44","1","",""
"40","5","",""
"33","12","",""
"39","6","",""
"32","13","",""
"35","10","",""
"35","10","",""
"29","16","",""
"29","16","",""
"32","13","",""
"29","16","",""
"32","13","",""
"40","5","",""
"37","8","",""
"33","12","",""
"44","1","",""
"34","11","",""
"33","12","",""
"30","15","",""
"38","7","",""
"35","10","",""
"30","15","",""
"38","7","",""
"39","6","",""
"32","13","",""
"30","15","",""
"39","6","",""
"39","6","",""
"35","10","",""
"42","3","",""
"33","12","",""
"25","20","",""
"40","5","",""
"32","13","",""
"29","16","",""
"41","4","",""
"31","14","",""
"30","15","",""
"32","13","",""
"42","3","",""
"35","10","",""
"28","17","",""
"35","10","",""
"31","14","",""
"42","3","",""
"35","10","",""
"25","20","",""
"37","8","",""
"40","5","",""
"21","24","",""
"37","8","",""
"32","13","",""
"37","8","",""
"42","3","",""
"41","4","",""
"33","12","",""
"37","8","",""
"39","6","",""
"30","15","",""
"37","8","",""
"38","7","",""
"30","15","",""
"31","14","",""
"30","15","",""
"34","11","",""
"29","16","",""
"31","14","",""
"29","16","",""
"35","10","",""
"40","5","",""
"36","9","",""
"19","26","",""
"30","15","",""
"30","15","",""
"44","1","",""
"41","4","",""
"31","14","",""
"35","10","",""
"35","10","",""
"26","19","",""
"32","13","",""
"37","8","",""
"41","4","",""
"34","11","",""
"31","14","",""
"38","7","",""
"35","10","",""
"30","15","",""
"34","11","",""
"39","6","",""
"22","23","",""
"41","4","",""
"30","15","",""
"39","6","",""
"29","16","",""
"39","6","",""
"42","3","",""
"38","7","",""
"31","14","",""
"36","9","",""
"33","12","",""
"33","12","",""
"31","14","",""
"34","11","",""
"40","5","",""
"36","9","",""
"31","14","",""
"43","2","",""
"31","14","",""
"40","5","",""
"31","14","",""
"39","6","",""
"33","12","",""
"37","8","",""
"39","6","",""
"33","12","",""
"41","4","",""
"44","1","",""
"39","6","",""
"39","6","",""
"37","8","",""
"29","16","",""
"38","7","",""
"40","5","",""
"37","8","",""
"26","19","",""
"42","3","",""
"40","5","",""
"32","13","",""
"21","24","",""
"33","12","",""
"35","10","",""
"28","17","",""
"36","9","",""
"30","15","",""
"40","5","",""
"32","13","",""
"37","8","",""
"30","15","",""
"34","11","",""
"41","4","",""
"30","15","",""
"32","13","",""
"40","5","",""
"33","12","",""
"39","6","",""
"35","10","",""
"30","15","",""
"31","14","",""
"43","2","",""
"32","13","",""
"44","1","",""
"33","12","",""
"36","9","",""
"40","5","",""
"34","11","",""
"34","11","",""
"43","2","",""
"30","15","",""
"30","15","",""
"35","10","",""
"32","13","",""
"35","10","",""
"32","13","",""
"31","14","",""
"32","13","",""
"30","15","",""
"33","12","",""
"37","8","",""
"40","5","",""
"43","2","",""
"30","15","",""
"29","16","",""
"36","9","",""
"30","15","",""
"44","1","",""
"32","13","",""
"32","13","",""
"32","13","",""
"29","16","",""
"30","15","",""
"35","10","",""
"39","6","",""
"28","17","",""
"25","20","",""
"30","15","",""
"39","6","",""
"29","16","",""
"38","7","",""
"33","12","",""
"35","10","",""
"44","1","",""
"29","16","",""
"28","17","",""
"39","6","",""
"34","11","",""
"34","11","",""
"40","5","",""
"33","12","",""
"37","8","",""
"30","15","",""
"38","7","",""
"35","10","",""
"40","5","",""
"28","17","",""
"24","21","",""
"37","8","",""
"34","11","",""
"30","15","",""
"31","14","",""
"35","10","",""
"27","18","",""
"30","15","",""
"42","3","",""
"35","10","",""
"27","18","",""
"30","15","",""
"32","13","",""
"30","15","",""
"34","11","",""
"38","7","",""
"37","8","",""
"30","15","",""
"37","8","",""
"35","10","",""
"35","10","",""
"30","15","",""
"40","5","",""
"38","7","",""
"34","11","",""
"42","3","",""
"35","10","",""
"44","1","",""
"28","17","",""
"40","5","",""
"33","12","",""
"42","3","",""
"30","15","",""
"32","13","",""
"38","7","",""
"29","16","",""
"23","22","",""
"30","15","",""
"30","15","",""
"31","14","",""
"42","3","",""
"37","8","",""
"30","15","",""
"32","13","",""
"15","30","",""
"37","8","",""
"34","11","",""
"37","8","",""
"39","6","",""
"32","13","",""
"31","14","",""
"34","11","",""
"37","8","",""
"18","27","",""
"37","8","",""
"42","3","",""
"40","5","",""
"28","17","",""
"38","7","",""
"37","8","",""
"21","24","",""
"39","6","",""
"42","3","",""
"33","12","",""
"33","12","",""
"33","12","",""
"38","7","",""
"34","11","",""
"33","12","",""
"36","9","",""
"42","3","",""
"30","15","",""
"34","11","",""
"31","14","",""
"31","14","",""
"36","9","",""
"30","15","",""
"36","9","",""
"42","3","",""
"41","4","",""
"39","6","",""
"21","24","",""
"35","10","",""
"26","19","",""
"31","14","",""
"42","3","",""
"41","4","",""
"45","0","",""
"33","12","",""
"31","14","",""
"34","11","",""
"31","14","",""
"40","5","",""
"36","9","",""
"37","8","",""
"38","7","",""
"33","12","",""
"34","11","",""
"35","10","",""
"30","15","",""
"29","16","",""
"31","14","",""
"26","19","",""
"37","8","",""
"35","10","",""
"27","18","",""
"41","4","",""
"33","12","",""
"29","16","",""
"40","5","",""
"36","9","",""
"37","8","",""
"43","2","",""
"40","5","",""
"33","12","",""
"39","6","",""
"26","19","",""
"30","15","",""
"27","18","",""
"30","15","",""
"31","14","",""
"43","2","",""
"29","16","",""
"37","8","",""
"32","13","",""
"41","4","",""
"44","1","",""
"30","15","",""
"32","13","",""
"31","14","",""
"40","5","",""
"34","11","",""
"38","7","",""
"33","12","",""
"30","15","",""
"25","20","",""
"29","16","",""
"30","15","",""
"33","12","",""
"29","16","",""
"35","10","",""
"30","15","",""
"30","15","",""
"28","17","",""
"31","14","",""
"35","10","",""
"32","13","",""
"29","16","",""
"33","12","",""
"42","3","",""
"30","15","",""
"42","3","",""
"42","3","",""
